,origin,originName,destination,destinationName,dateOut,flightNumber,duration,faresLeft,infantsLeft,fareType,fareAmount,fareCount,fareHasDiscount,farePublishedFare,fareDiscountInPercent,fareHasPromoDiscount,fareDiscountAmount,fareHasBogof
0,BRU,Brussels,AGP,Malaga,2023-10-01T00:00:00.000,FR 2923,02:55,-1,18,ADT,93.41,1,False,93.41,0,False,0.0,False
1,BRU,Brussels,AGP,Malaga,2023-10-02T00:00:00.000,FR 2923,02:50,-1,18,ADT,73.99,1,False,73.99,0,False,0.0,False
2,AGP,Malaga,BRU,Brussels,2023-04-02T00:00:00.000,FR 2924,02:50,-1,16,ADT,24.99,1,False,24.99,0,False,0.0,False
3,AGP,Malaga,BRU,Brussels,2023-04-03T00:00:00.000,FR 2924,02:50,-1,15,ADT,70.39,1,False,70.39,0,False,0.0,False
0,BRU,Brussels,PMI,Mallorca,2023-09-29T00:00:00.000,FR 2915,02:15,-1,18,ADT,132.54,1,False,132.54,0,False,0.0,False
1,BRU,Brussels,PMI,Mallorca,2023-10-02T00:00:00.000,FR 2915,02:15,-1,18,ADT,44.99,1,False,44.99,0,False,0.0,False
2,PMI,Mallorca,BRU,Brussels,2023-03-31T00:00:00.000,FR 2916,02:20,-1,18,ADT,31.79,1,False,31.79,0,False,0.0,False
3,PMI,Mallorca,BRU,Brussels,2023-04-03T00:00:00.000,FR 2916,02:20,3,17,ADT,35.4,1,False,35.4,0,False,0.0,False
0,CRL,Brussels (Charleroi),CFU,Corfu,2023-10-01T00:00:00.000,FR 6251,02:40,-1,18,ADT,57.05,1,False,57.05,0,False,0.0,False
1,CFU,Corfu,CRL,Brussels (Charleroi),2023-04-02T00:00:00.000,FR 6252,02:50,4,18,ADT,32.99,1,False,32.99,0,False,0.0,False
0,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-09-30T00:00:00.000,FR 7986,03:25,-1,18,ADT,156.69,1,False,156.69,0,False,0.0,False
1,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-10-03T00:00:00.000,FR 7986,03:25,-1,18,ADT,105.71,1,False,105.71,0,False,0.0,False
2,HER,Heraklion Crete,CRL,Brussels (Charleroi),2023-04-01T00:00:00.000,FR 7987,03:45,-1,18,ADT,34.99,1,False,34.99,0,False,0.0,False
0,CRL,Brussels (Charleroi),RHO,Rhodes,2023-09-29T00:00:00.000,FR 8577,03:35,2,18,ADT,67.13,1,False,67.13,0,False,0.0,False
1,CRL,Brussels (Charleroi),RHO,Rhodes,2023-10-02T00:00:00.000,FR 8577,03:35,2,18,ADT,99.53,1,False,99.53,0,False,0.0,False
2,RHO,Rhodes,CRL,Brussels (Charleroi),2023-03-31T00:00:00.000,FR 8576,03:50,2,16,ADT,13.99,1,False,13.99,0,False,0.0,False
3,RHO,Rhodes,CRL,Brussels (Charleroi),2023-04-03T00:00:00.000,FR 8576,03:50,2,17,ADT,29.99,1,False,29.99,0,False,0.0,False
0,CRL,Brussels (Charleroi),BDS,Brindisi,2023-09-29T00:00:00.000,FR 7737,02:25,-1,18,ADT,60.99,1,False,60.99,0,False,0.0,False
1,CRL,Brussels (Charleroi),BDS,Brindisi,2023-10-01T00:00:00.000,FR 7737,02:25,-1,18,ADT,81.99,1,False,81.99,0,False,0.0,False
2,CRL,Brussels (Charleroi),BDS,Brindisi,2023-10-02T00:00:00.000,FR 7737,02:25,-1,18,ADT,38.99,1,False,38.99,0,False,0.0,False
3,CRL,Brussels (Charleroi),BDS,Brindisi,2023-10-03T00:00:00.000,FR 7737,02:25,-1,18,ADT,70.99,1,False,70.99,0,False,0.0,False
4,BDS,Brindisi,CRL,Brussels (Charleroi),2023-03-31T00:00:00.000,FR 7738,02:30,-1,16,ADT,16.99,1,False,16.99,0,False,0.0,False
5,BDS,Brindisi,CRL,Brussels (Charleroi),2023-04-02T00:00:00.000,FR 7738,02:30,1,16,ADT,21.99,1,False,21.99,0,False,0.0,False
