datum_extract,datum_vlucht,start,stop,Vertrek uur,Aankomst uur,duur,aantalStops,prijs,stoelen,tussenstop Viegvelden,FlightNummers,Vliegtuigen
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,06:55,11:05,4h 10m,1,"347,58",2,"{'(PMO)', '(BRU)', '(MUC)'}","{'2023', '1914', '5629'}","{'A319', 'A320'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,09:45,13:55,4h 10m,1,"584,31",7,"{'(PMO)', '(ZRH)', '(BRU)'}","{'2023', '1742'}",{'A320'}
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,08:50,16:35,7h 45m,1,"395,58",6,"{'(PMO)', '(BRU)', '(MUC)'}","{'2023', '1916', '2283'}",{'A320'}
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,06:55,16:35,9h 40m,1,"299,58",8,"{'(PMO)', '(BRU)', '(MUC)'}","{'2023', '1916', '5629'}","{'A319', 'A320'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,20:45,11:05,14h 20m,1,"261,67",-1,"{'(PMO)', '(BRU)', '(MUC)'}","{'2023', '1914', '2291'}","{'A319', 'A320'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,09:30,16:35,7h 05m,2,"578,11",-1,"{'(FRA)', '(PMO)', '(BRU)', '(MUC)'}","{'2023', '1916', '1007'}","{'A319', 'A320', 'A321'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,06:20,13:55,7h 35m,2,"519,78",5,"{'(PMO)', '(ZRH)', '(GVA)', '(BRU)'}","{'2023', '2807', '4551', '1742'}","{'A319', 'A320'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Palermo,07:00,16:35,9h 35m,2,"519,78",5,"{'(FRA)', '(PMO)', '(BRU)', '(MUC)'}","{'2023', '1916', '5587'}","{'A319', 'A320', 'A321'}"
2023-03-28,zondag 30 april 2023,Brussel,Palermo,06:55,11:05,4h 10m,1,"299,58",6,"{'(PMO)', '(BRU)', '(MUC)'}","{'2023', '1914', '5629'}","{'A319', 'A320'}"
2023-03-28,zondag 30 april 2023,Brussel,Palermo,09:40,13:55,4h 15m,1,"509,31",6,"{'(PMO)', '(ZRH)', '(BRU)'}","{'2023', '1742'}",{'A220-300'}
2023-03-28,zondag 30 april 2023,Brussel,Palermo,11:20,16:55,5h 35m,1,"402,67",2,"{'(FRA)', '(PMO)', '(BRU)'}","{'2023', '1009'}",{'A320'}
2023-03-28,zondag 30 april 2023,Brussel,Palermo,09:30,16:55,7h 25m,1,"354,67",3,"{'(FRA)', '(PMO)', '(BRU)'}","{'2023', '1007'}","{'A320', 'A321'}"
2023-03-28,zondag 30 april 2023,Brussel,Palermo,09:40,18:45,9h 05m,1,"395,31",1,"{'(PMO)', '(ZRH)', '(BRU)'}","{'2023', '1744'}",{'A220-300'}
2023-03-28,zondag 30 april 2023,Brussel,Palermo,20:00,08:50,12h 50m,1,"159,38",-1,"{'(PMO)', '(VIE)', '(BRU)'}",{'2023'},{'A320'}
2023-03-28,zondag 30 april 2023,Brussel,Palermo,19:15,08:50,13h 35m,1,"136,38",2,"{'(PMO)', '(VIE)', '(BRU)'}","{'2023', '8176'}",{'A320'}
2023-03-28,zondag 30 april 2023,Brussel,Palermo,20:45,11:05,14h 20m,1,"161,67",-1,"{'(PMO)', '(BRU)', '(MUC)'}","{'2023', '1914', '2291'}",{'A320'}
2023-03-28,zondag 30 april 2023,Brussel,Palermo,06:20,13:55,7h 35m,2,"654,78",-1,"{'(PMO)', '(ZRH)', '(GVA)', '(BRU)'}","{'2023', '2807', '4551', '1742'}","{'A320', 'A220-300'}"
2023-03-28,zondag 30 april 2023,Brussel,Palermo,09:15,18:45,9h 30m,2,"363,78",8,"{'(PMO)', '(ZRH)', '(GVA)', '(BRU)'}","{'2023', '2811', '1744'}","{'A320', 'A220-100'}"
2023-03-28,zondag 30 april 2023,Brussel,Palermo,06:20,18:45,12h 25m,2,"411,52",-1,"{'(BRU)', '(ZHT)', '(GVA)', '(ZRH)', '(PMO)'}","{'2023', '7485', '4551', '1744'}",{'A320'}
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,09:20,11:20,3h 00m,0,"766,14",3,"{'(FAO)', '(BRU)'}","{'2023', '3801'}",{'A320'}
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,08:50,13:00,5h 10m,1,"697,58",6,"{'(FAO)', '(BRU)', '(MUC)'}","{'2023', '1786', '2283'}","{'A320NEO', 'A320'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,11:20,15:35,5h 15m,1,"704,67",-1,"{'(FRA)', '(BRU)', '(FAO)'}","{'2023', '1009', '1162'}","{'A320', 'A321NEO'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,07:00,12:20,6h 20m,1,"834,67",3,"{'(FRA)', '(BRU)', '(FAO)'}","{'2023', '1498', '5587'}","{'A319', 'A321'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,06:55,13:00,7h 05m,1,"697,58",-1,"{'(FAO)', '(BRU)', '(MUC)'}","{'2023', '5629', '1786'}","{'A320NEO', 'A319'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,09:30,15:35,7h 05m,1,"704,67",-1,"{'(FRA)', '(BRU)', '(FAO)'}","{'2023', '1007', '1162'}","{'A321', 'A321NEO'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,09:45,18:20,9h 35m,1,"697,31",-1,"{'(FAO)', '(ZRH)', '(BRU)'}","{'2023', '8298'}",{'A320'}
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,15:55,23:50,8h 55m,1,"785,25",6,"{'(FAO)', '(BRU)', '(LIS)'}","{'2023', '1909', '6413'}","{'A319', 'A321'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,09:15,17:20,9h 05m,1,"785,25",6,"{'(FAO)', '(BRU)', '(LIS)'}","{'2023', '3815', '1903'}","{'A320NEO', 'A319'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,20:50,10:30,14h 40m,1,"785,25",6,"{'(FAO)', '(BRU)', '(LIS)'}","{'2023', '1907', '6405'}",{'A320'}
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,11:20,17:20,7h 00m,2,"898,78",4,"{'(FRA)', '(FAO)', '(BRU)', '(LIS)'}","{'2023', '6936', '1168', '1009'}","{'A320NEO', 'A320', 'A321NEO'}"
2023-03-28,zaterdag 29 april 2023,Brussel,Faro,11:20,17:20,7h 00m,2,"853,78",-1,"{'(FRA)', '(FAO)', '(BRU)', '(LIS)'}","{'2023', '1168', '1009', '1903'}","{'A320NEO', 'A320', 'A321NEO'}"
