date_data_recieved,departDate,arrivalDate,flightNumber,productId,depTime,arrivalTime,departAirportCode,arrivalAirportCode,journeyType,totalNumberOfStops,journeyDuration,arrivalAirportName,departAirportName,availableSeats,carrierCode,carrierName,totalPrice
2023-03-29,2023-04-16,2023-04-16,2341,eJyMkt+K4jAYxV9FPm+/zCRp+sfcGXGqKHapLc4iIqlNl+507dDqwiDm2ZeosO7d3vTinB+nJye5gAYJq/UCp3mKmUKGFCl+yzFZTTfj7zheLvHU1Z/9vteN6XEzVegHPiAUILdbUGmO6SxBTrlHqCAsyGgoPSopfdYYf2iZQu4Jhm8MEedqEyPCbodwALm9QNG2H/Xxx6TRfQ8S3hggHPuPl4MTkmptut/1wYCEuXo4le6M0n3dT9rybmziJ2ttmmZhvkACtXNlB/bdsw6x3GfUWmqZte8P/md77o7m64677lSwYJAp13eg0jydJf+Sf8MzZR1lB9aqNLdUvLLg1UUMbmPYdJY8i7c1rH2kdUX5fNbu3JjV+VdhOlfDZxSuOwSHUBmVQnshi0hkKk5EOdKkMCYiIdejIAiFH5Yj+am7U32q2yMpK8GDMBqRIvIjImgYEM08SqqiPBwKyoXgFBAMyAuocRyP46l7DclejeP9fDWBK0IFEtLpOl9mw//5+/B+6R7hI8m4vH1fBOPD1XoxVGlO3IrXPwEAAP//67CtNQ==,07:30,12:30,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,119.99
2023-03-29,2023-04-18,2023-04-18,2367,eJyMkV+L4jwYxb+KPN4+mUnS9I+5a8SpL0r7UlucRURSmy7dce3Q6sIg5rMvUWHdu73JxTk/Tk5OLqBBQrpa4KzMsVDIkCLF/0vM0tk6/obxcomnvv0cdoM+mAHXM4V+4ANCBXKzAZWXmM8z5JR7hArCooIGklJJ6bPG2EMrFHIvCPGNIWIarxNE2G4R9iA3F6i67qM9fp8e9DCAhDcGCMfh42XvhKxZmf5XuzeucfxwGt0bpYd2mHb13VgnT9bKHA4L8wUSqE1jO7LvnnWI5T6j1lLLrH1/8D+6c380X3fcdaeCRaNCub4jlZf5PPub/BNeKOsoO7JW5aWl4pVFry5idBvD5vPsWbytYe0jra/q57f254NJzz8r07saPqNw3SI4hMuoFtoLWUQi03Ai6okmlTERCbmeBEEo/LCeyE/dn9pT2x1J3QgehNGEVJEfEUHDgGjmUdJU9X5fUS4Ep4BgQF5AxUkSJzM3YbZTcbL7L53CFaEBCflsVS6L8b/cPr5/ukf4RDIub+eLYHycrhZjlZfErXj9HQAA//8pRq1d,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,264.99
2023-03-29,2023-04-21,2023-04-21,2341,eJyMkl+L4jwYxb+KPN4+mUnS9I+5M9KpLxb7UlucRURSmy7dce3Q6sIg5rMvUWHdu73pxTk/Tk9OcgENEparBcZljoVChhQp/l9itozX0284TVM89e3nsBv0wQy4jhX6gQ8IFcjNBlReYj7PkFPuESoIZwUNJKWS0meNsYdWKOSeYPjGEDGN1wkibLcIe5CbC1Rd99Eev88OehhAwhsDhOPw8bJ3QtasTP+r3RuQkMYPp9G9UXpoh1lX34118mStzOGwMF8ggdo0tiP77lmHWO4zai21zNr3B/+jO/dH83XHXXcqOBsVyvUdqbzM59nf5J/wQllH2ZG1Ki8tFa+cvbqI0W0Mm8+zZ/G2hrWPtL6qn8/anw9mef5Zmd7V8BmF6xbBIUxGtdBeyCISmYYTUU80qYyJSMj1JAhC4Yf1RH7q/tSe2u5I6kbwIIwmpIr8iAgaBkQzj5Kmqvf7inIhOAUEA/ICapok0yR2ryHbqWmy+285gytCAxLyeFWmxfhf/j6+X7pH+EQyLm/fF8H4eLlajFVeErfi9XcAAAD//+c0rTA=,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,224.99
2023-03-29,2023-04-22,2023-04-22,2341,eJyMkt+K4jAYxV9FPm+/zCRpatvcNeLURbFL/+AsIpLadOmOa4dWFwYxz75kFHa825tenPPj9OQkF9AgYZUvcFZmWChkSJHi9xLT1Wwd/8B4ucRT374Pu0EfzIDrmUJ/4gNCBXKzAZWVmM1T5JR7hArCecGEZL6k9EGL7lqhkHuC4QtDxDxeJ4iw3SLsQW4uUHXdW3v8OT3oYQAJLwwQjsPb094JaZOb/k+7NyAhj+9Oo3uj9NAO066+Gevki5Wbw2FhPkACtXlsR/bVsw6x3GfUWmqZta93/ld37o/m44a77lRwPiqU6ztSWZnN00fyX3ihrKPsyFqVlZaKZ86fXcTocwybzdMH0a1h7T2tr+qvZ+3PB7M6/65M72r4jMJ1i+AQT4a10F7AQhKahhNRR5pUxoQk4DqaTALhB3Uk33V/ak9tdyR1I/gkCCNShX5IBA0mRDOPkqaq9/uKciE4BQQD8gIqTpI4mbnXkO5UnOy+raZwRWhAQjbLy2Ux/p+/j2+X7hEeScbl5/dJMD5e5YuxykriVrz+DQAA//9Edq1s,14:15,19:15,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,1,TB,TUI fly,529.99
2023-03-29,2023-04-23,2023-04-23,2365,eJyMkt9u2jAYxV8Ffdx+bv0vpPEdKdRMRGSCIDohhOzgTFkZqRKYVCH87JML0srdbs/56fj42GcwoGC2mOJ4OcciRYYUKX5fYj4br4Y/cJhleGzr927bmb3rcDVOMRpEgGBBrdeQaY3zSY6cckGoJFwUjCsZKUrvtFiJT61IkYtBhC8MEbPRSiPCZoNQglqfwTbNW334+bw3XQcKXhggHLq3hzIIebVw7Z+6dKAgG92cyrQuNV3dPTe7q7HSX6yF2++n7gMUUJ+NfM+/Ch8QzyNGvaeeef964381p/bgPq546E4lF70iDX17mdbzSX5P/gsvUh8o3/M+09pT+cjFY4jofY7h55P8TgxreH9La+3u613b097NTr+ta0ONiFG4bBACQpWgcldRyoiwIiJSckrsEy9JFcVJZUQ8sG6n3k17rI91cyCxNFUZxZbYJJZE7sqIWFsmxBpJKeNmkAwkIDhQZ0iHWg/1OPyGfJsO9fbb7BkuCBUomI8Xy6zo/8/p/eujC8ITxbjiieLsIX6K+7PFtJ9pTcKKl78BAAD//xJPrXk=,12:45,17:35,LGG,RHO,Direct,0,3u 50m,Rhodos,Luik,10,TB,TUI fly,219.99
2023-03-29,2023-04-23,2023-04-23,2341,eJyMks+O2jAYxF8FfVw/7/pfSOMbBjZUIFKFRGyFELKDU6VLYZVApRXCz165IHW59Trz03g89gUMKFgsZzgpcyw0MqRI8VuJ2WKyGn7H4XyOp7Z577ad2bsOVxON0SACBAtqvQadl5hPM+SUC0Il4aJgUrFIUfqgJXet0MiFZPjCEDEbr1JE2GwQKlDrC9jj8a05/BjtTdeBghcGCIfu7akKQlYvXfu7qRwoyMZ3pzat06ZrutFxdzNW6Sdr6fb7mfsABdRnY9/zr8IHxPOIUe+pZ96/3vmfx3N7cB83PHSnkoteoUPfns7LfJo9kv/CC+0D5Xve67z0VD5z8Rwien/H8Pk0exDDGt7f01q7+3zX9rx3i/Mv69pQI2IUrhuEgFAlqNzVlDIirIiIlJwS+4VXpI7ipDYiHli3U++mPTWn5nggsTR1FcWW2CSWRO6qiFhbJcQaSSnjZpAMJCA4UBfQwzQdppPwG7KtHqbbr4sRXBFqUJBPluW86P/P6f3bowvCE8W44oni7CkWg/5iOevrvCRhxeufAAAA//9TAa2q,14:15,19:15,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,319.99
2023-03-29,2023-04-25,2023-04-25,2367,eJyMklFv2jAUhf8Kurxet9eOnSx+wxVNJxAZIRGdEEJxcKasDKoEJlUI//YpBWnsba/nfDo+PvYZStAwW0xwXGSYG+RISPitwHQ2Xo6+42g6xWPbvHebrty5DpdjgypUgGBBr1ZgsgKzlxQFiYCRZELlFGoiTXSvcX7TcoMiCCN85og4N8sEEdZrhAr06gz2cHhr9j+edmXXgYZnDgj77u2h6oW0Xrj2d1M50DA3N6cuW2fKrumeDtursUzurIXb7SbuAzSQnxs/8K+B7xEvFCfvyXPvX2/8z8Op3buPK953JynUIDd934HJiuwl/Zf8G54b31N+4L3JCk/yUajHPmLwOYbPXtJ78XMN729prd3e37U97dzs9Mu6tq+hOMFljdAjQgcktzURZ4ENFJNSELNfRMVqFcV1GUShdVv9XrbH5tgc9iySZV2pyDIbR5LJbaWYtVXMbCmJuCjDOJSA4ECfwYySZJSM+9+Qbswo2XydPcEFoQYN2XhRTPPh/5w+vD56wESsudAi1oI/REE4nC0mQ5MVrF/x8icAAP//TUStqA==,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,419.99
2023-03-29,2023-04-28,2023-04-28,2341,eJyMklGL4j4Uxb+KXF9vZm7StLV5awan/lHs39riLCLS1HTpjqtDqwuDmM++dBTWfdvXc36cnJzkAiUomC+nOC4yzDVyJCT8v8B0Pl7F3zCezfDUNh/dtiv3tsPVWKMf+IBgQK3XoLMCs0mKgoTHSDIxyilQRIroUeP8ruUahSc5vnJEXMSrBBE2G4QK1PoC5nh8bw7fX/Zl14GCVw4Ih+79qeqFtF7a9ldTWVCwiO9OXbZWl13TvRx3N2OVPFhLu99P7ScoILeI3cC9ea5HnPA5OUeOO/d2538cz+3Bft7wvjtJMRrkuu870FmRTdK/yT/huXY95QbO6axwJJ/F6LmPGHyN4bJJ+ih+reHcPa01u8e7tue9nZ9/Gtv2NXxOcN0g9AhXHsldTcSZZzyfSSmImZGoWO2HUV16YWDsTn2U7ak5NccDC2VZV35omIlCyeSu8pkxVcRMKYm4KIMokIBgQV1Ax0kSJ+P+N6RbHSfb/+YvcEWoQUE2XhazfPgvpw9vj+4xESkulIiU4E+hFwzny+lQZwXrV7z+DgAA//83U62Z,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,409.99
2023-03-29,2023-04-30,2023-04-30,2341,eJyMkt9u2jAYxV8Ffdx+bm0nLrXvMNAwgciUP6ITQsgGZ8rKSJXApArhZ588kFbuenvOT8fHxz6DAQWLfIaTMsNCI0OKFL+XmC4my+EPHM7neGzr927Tmb3rcDnRKJ4EIFhQqxXorMRsmiKnPCI0JhEtWKyYUJTeafKmFRp5FDN8YYiYj5cJIqzXCFtQqzPYpnmrDz9He9N1oOCFAcKhe3vYBiGtctf+qbcOFOTjm1OZ1mnT1d2o2V2NZfLJyt1+P3MfoID6fOx7/jXyAfFcMOo99cz71xv/qzm1B/dxxUN3Gke0V+jQt6ezMpum9+T/8EL7QPme9zorPY0fI/oYInr/xvDZNL0Twxre39Jau/t81/a0d4vTb+vaUEMwCpc1QkC4srEZsNg5MrBCkthUhthKVmTHBgPqBKORsOrdtMf6WDcHUhkWDaSTREgakdgYTqTYGSIZt4xunzizO0BwoM6gh0kyTCbhN6QbPUw23xYjuCBUoCCb5OW86H/l9P710SPCpWJccan488Oz5P1FPuvrrCRhxcvfAAAA///WyK6N,14:15,19:15,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,2,TB,TUI fly,549.99
2023-03-29,2023-05-02,2023-05-02,2341,eJyMkt+KIj0UxF9FjrcnMydpo9O5M+q0H4r90X9wFhFJNL30jqtDty4MYp59ySise7e3VT8qlUouYEDBIp/hpMyw0MiRkPD/EtPFZDn8hsP5HE9N/dFuWrN3LS4nGmVfAoIFtVqBzkrMpikKEhEjyUgU1FdEiuhR4/yuFRpF1OP4yhExHy8TRFivEbagVhewx+N7ffg+2pu2BQWvHBAO7fvTNghplbvmV711oCAf353KNE6btm5Hx93NWCYPVu72+5n7BAXk87Hv+LfIB8QLycl78tz7tzv/43huDu7zhofuJEl0Ch36dnRWZtP0b/JPeKF9oHzHe52VnuQziecQ0fkaw2fT9FH8WsP7e1pjd493bc57tzj/tK4JNSQnuK4RAhIp2zMD3nOODayMWc9UhtkqrtiODwbkJKdIWvVhmlN9qo8HVhkeDWIXMxlTxHrGCBbLnWExF5bTti+43QGCA3UBPUySYTIJvyHd6GGy+W8xgitCBQqySV7Oi+6/nN69PXrERKy4UCJW4uXpJRbdRT7r6qxkYcXr7wAAAP//nPyuaA==,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,4,TB,TUI fly,549.99
2023-03-29,2023-05-05,2023-05-05,2341,eJyMklGL4j4Uxb+KXF9vZm5So9O8meLUP4r9E1ucRURSTZfuuHZodWEQ89mXjMK6b/t6zo+Tk5NcwIKCxXKGk8JgrpEjIeH/BWaLyWr8DcfzOZ7a+qPbdvbgOlxNNMqhBIQS1HoN2hRophkKEhEjyUjmNFREiuhR4/yu5RpFNOD4yhHRJKsUETYbhB2o9QXKpnmvj9+Tg+06UPDKAeHYvT/tgpBVS9f+qncOFJjk7lS2ddp2dZc0+5uxSh+spTscZu4TFJA3ie/5t8gHxAvJyXvy3Pu3O/+jObdH93nDQ3eSJHu5Dn172hRmmv1N/gnPtQ+U73mvTeFJPpN8DhG9rzG8mWaP4tca3t/T2nL/eNf2fHCL88/StaGG5ATXDUJAuCoHdsQHzrFRKWM2sJVlZRVXbM9HI3KSUyRL9WHbU32qmyOrLI9GsYuZjCliA2sFi+XespiLktNuKHi5BwQH6gJ6nKbjdBJ+Q7bV43T73yKBK0IVRp0si3ne/5fT+7dHj5iIFRdKxEq8PL3Eor9YzvraFCyseP0dAAD//6Grrms=,06:00,11:00,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,6,TB,TUI fly,489.99
2023-03-29,2023-05-06,2023-05-06,2341,eJyMklGL4jAUhf+KXF9vZm7SRid5M6J1UexSW5xFRFJNl+64OrS6MIj57UtWYce3eT3n4+TkJBewoGG+mOKoyDA3yJGQ8HuB6Xy0HPzAwWyGp6Z+bzet3bsWlyODsicBoQS9WoHJCswmKQoSESPJqJfzWHOpiR40dddygyKKOY45IqbjZYII6zXCFvTqAuXx+FYffg73tm1Bw5gDwqF9e9oGIa0WrvlTbx1oSMd3p7KNM7at2+FxdzOWySdr4fb7qfsADeTTse/418gHxAvJyXvy3PvXO//reG4O7uOGh+4kqdfJTejbMVmRTdJH8n94bnygfMd7kxWe5DP1nkNE598YPpukD2JYw/t7WlPuPt+1Oe/d/Py7dE2oITnBdY0QENJlbPs8do71S6lYbCvLykpVbMf7fXKSUyRL/W6bU32qjwdWWR71lVNMKopYbK1gSu4sU1yUnLY9wcsdIDjQFzCDJBkko/Ab0o0ZJJtv8yFcESrQkI0WxSzvfuX07u3RIyaU5kILpcXL04sS3fli2jVZwcKK178BAAD//+MZrpU=,14:15,19:15,BRU,RHO,Direct,0,4u 0m,Rhodos,Brussel,10,TB,TUI fly,339.99
2023-03-29,2023-05-06,2023-05-06,2371,eJyMkVFv2jAUhf8Kurxet9dOTGq/4YqGCZRMJIhOCCEHnCkrgyqBSRXCv31yQVp52+s5n46Pzz2DBQ1ZMcHRfIalQY6EhN/nmGejxfAHDqdTPLbNe7fu7M51uBgZlAMJCBXo5RLyosTZOEdBImIkGQ1KHuuINNGdpnT8qZUGRZRwfOGImJlFigirFcIG9PIM1eHw1ux/Pu9s14GGFw4I++7tYROEvC5c+6fZuNDY3Jzats7YrumeD9ursUi/WIXb7SbuAzSQz4zv+dfIB8QLycl78tz71xv/63Bq9+7jiofuJGnQK03o28uLcjbO78l/4aXxgfI97/Oi9CQfafAYInqfY/jZOL8Twxre39Laavv1r+1p57LT78q1oYbkBJcVQkBIV7FNeOwcSyqpWGxry6pa1WzLk4Sc5BTJSr/b9tgcm8Oe1ZZHiXKKSUURi60VTMmtZYqLitNmIHi1BQQH+gxmmKbDdBQmzNdmmK6/Zc9wQahBw2xUzKdl/39e71+PHjGhNBdaKC2eHp6U6mfFpJ8XJQsrXv4GAAD///RmrrY=,14:30,19:40,OST,RHO,Direct,0,4u 10m,Rhodos,Brugge-Oostende,10,TB,TUI fly,269.99
2023-03-29,2023-05-07,2023-05-07,2365,eJyMkV+L4jAUxb+KXF9vZtL8aTVvdtC4WNpFK84iImmbLt1x7dDqwiDmsy8ZhR3f9vWcHycn517AgIJ0tcDpeol5jAFSpPh9jVk63Ux+4CRJ8NQ17/2+Nwfb42YaowwlIBSgtltItMblPENGGSdUEhrlAVNCKkoftEjxTy2PkfFQ4ixAxHS20Yiw2yGUoLYXKNr2rTn+fDmYvgcFswAQjv3bU+mFrF7Z7k9TWt94dndq09nY9E3/0lY3Y6O/WCt7OCzsByigLp25gXvlziOOyYA6R13g3Oud/9Weu6P9uOG+O5U0GuSx7ztItF7Os0fyX3geO0+5gXOJ1o7KZxo9+4jB5xhuOc8eRL+Gc/e0rqi+/rU7H2x6/l3YzteQAYXrDsEjVHFjZSVqQ4Q1BRFVWZKiMmMiTB2ETIiyFEy9m+7UnJr2SCi3I0lFSKrIjogQIiBFaCISFqbkYiTNuI4AwYK6QDzReqKnfsJsH0/0/lv6AleEGhQsp6t1kg//5/Xh7eicsLEKmGJjxcMnPuLDdLUYJloTv+L1bwAAAP//UMOvrA==,12:45,17:35,LGG,RHO,Direct,0,3u 50m,Rhodos,Luik,10,TB,TUI fly,289.99
