datum_extract,datum_vlucht,start,stop,Vertrek uur,Aankomst uur,duur,aantalStops,prijs,stoelen,tussenstop Viegvelden,FlightNummers,Vliegtuigen
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,06:55,11:05,4h 10m,1,"254,58",8,"{'(MUC)', '(PMO)', '(BRU)'}","{'1914', '2023', '5629'}","{'A320', 'A319'}"
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,09:40,13:55,4h 15m,1,"299,33",1,"{'(ZRH)', '(PMO)', '(BRU)'}","{'1742', '2023'}","{'A320', 'A320NEO'}"
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,06:55,13:55,7h 00m,1,"299,33",1,"{'(ZRH)', '(PMO)', '(BRU)'}","{'4545', '1742', '2023'}",{'A320'}
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,09:40,18:45,9h 05m,1,"154,33",-1,"{'(ZRH)', '(PMO)', '(BRU)'}","{'1744', '2023'}","{'A220-300', 'A320NEO'}"
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,06:55,18:45,11h 50m,1,"154,33",-1,"{'(ZRH)', '(PMO)', '(BRU)'}","{'4545', '1744', '2023'}",{'A220-300'}
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,20:15,08:50,12h 35m,1,"154,33",-1,"{'(ZRH)', '(PMO)', '(BRU)'}","{'1740', '2023'}","{'A320', 'A320NEO'}"
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,20:45,11:05,14h 20m,1,"354,67",-1,"{'(MUC)', '(PMO)', '(BRU)'}","{'2291', '1914', '2023'}",{'A320'}
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,06:20,13:55,7h 35m,2,"309,83",-1,"{'(ZRH)', '(GVA)', '(PMO)', '(BRU)'}","{'4551', '1742', '2023', '2807'}","{'A320', 'A321'}"
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,09:15,18:45,9h 30m,2,"363,83",-1,"{'(ZRH)', '(GVA)', '(PMO)', '(BRU)'}","{'2811', '2023', '1744'}","{'A220-300', 'A320NEO'}"
2023-03-29,donderdag 31 augustus 2023,Brussel,Palermo,06:20,18:45,12h 25m,2,"165,83",-1,"{'(ZRH)', '(GVA)', '(PMO)', '(BRU)'}","{'4551', '2811', '2023', '1744'}","{'A320', 'A220-300', 'A320NEO'}"
