dateDataRecieved,departAirportCode,departAirportName,arrivalAirportCode,arrivalAirportName,departDate,arrivalDate,depTime,arrivalTime,journeyDuration,flightNumber,routeGroup,JourneyType,availableSeats,totalNumberOfStops,totalPrice,currency,fareCount,farePublishedFare,flightKey
2023-03-28,BRU,Brussels,AGP,Malaga,2023-04-02,2023-04-02,09:55:00,12:50:00,02:55,FR 2923,LEISURE,SUN_BREAK,4,1,246.95,EUR,1,246.95,FR~2923~ ~~BRU~04/02/2023 09:55~AGP~04/02/2023 12:50~~
2023-03-28,BRU,Brussels,AGP,Malaga,2023-04-03,2023-04-03,17:40:00,20:30:00,02:50,FR 2923,LEISURE,SUN_BREAK,4,1,246.95,EUR,1,246.95,FR~2923~ ~~BRU~04/03/2023 17:40~AGP~04/03/2023 20:30~~
2023-03-28,BRU,Brussels,PMI,Mallorca,2023-04-03,2023-04-03,20:25:00,22:40:00,02:15,FR 2915,LEISURE,SUN_BREAK,1,1,134.59,EUR,1,134.59,FR~2915~ ~~BRU~04/03/2023 20:25~PMI~04/03/2023 22:40~~
2023-03-28,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-02,2023-04-02,17:00:00,20:40:00,02:40,FR 6251,LEISURE,SUN_BREAK,5,1,95.99,EUR,1,95.99,FR~6251~ ~~CRL~04/02/2023 17:00~CFU~04/02/2023 20:40~~
2023-03-28,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-01,2023-04-01,08:10:00,12:35:00,03:25,FR 7986,LEISURE,SUN_BREAK,3,1,230.81,EUR,1,230.81,FR~7986~ ~~CRL~04/01/2023 08:10~HER~04/01/2023 12:35~~
2023-03-28,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-03,2023-04-03,12:00:00,16:35:00,03:35,FR 8577,LEISURE,SUN_BREAK,2,1,114.98,EUR,1,114.98,FR~8577~ ~~CRL~04/03/2023 12:00~RHO~04/03/2023 16:35~~
2023-03-28,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-02,2023-04-02,17:30:00,19:55:00,02:25,FR 7737,LEISURE,SUN_BREAK,-1,1,68.47,EUR,1,70.99,FR~7737~ ~~CRL~04/02/2023 17:30~BDS~04/02/2023 19:55~~
2023-03-28,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-03,2023-04-03,20:55:00,23:20:00,02:25,FR 7737,LEISURE,SUN_BREAK,-1,1,52.56,EUR,1,52.56,FR~7737~ ~~CRL~04/03/2023 20:55~BDS~04/03/2023 23:20~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-02,2023-04-02,09:45:00,12:00:00,02:15,FR 1302,LEISURE,SUN_BREAK,2,1,121.6,EUR,1,121.6,FR~1302~ ~~CRL~04/02/2023 09:45~NAP~04/02/2023 12:00~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-03,2023-04-03,06:30:00,08:45:00,02:15,FR 1302,LEISURE,SUN_BREAK,1,1,74.21,EUR,1,74.21,FR~1302~ ~~CRL~04/03/2023 06:30~NAP~04/03/2023 08:45~~
