originCode,origin,destinationCode,destination,price,day,month,timeStart,timeEnd,dateRecorded
BRU,Brussel,HER,Heraklion,€161,11,april,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€161,18,april,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€175,8,april,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€175,15,april,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€207,25,april,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€225,4,april,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€257,29,april,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€291,22,april,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€329,1,april,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€146,20,mei,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€146,23,mei,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€161,16,mei,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€175,27,mei,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€191,30,mei,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€207,6,mei,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€225,2,mei,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€241,9,mei,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€257,13,mei,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€92,20,juni,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€117,29,juni,15:55,20:20,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€131,13,juni,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€146,17,juni,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€146,27,juni,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€161,3,juni,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€161,24,juni,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€175,6,juni,07:10,11:35,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€175,10,juni,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€160,6,juli,15:55,20:20,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€160,13,juli,15:55,20:20,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€175,27,juli,15:55,20:20,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€190,20,juli,15:55,20:20,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€206,4,juli,07:15,11:40,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€258,11,juli,07:15,11:40,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€258,18,juli,07:15,11:40,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€258,29,juli,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€292,8,juli,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€292,15,juli,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€292,25,juli,07:15,11:40,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€310,22,juli,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€328,1,juli,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€59,24,augustus,15:55,20:20,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€104,17,augustus,15:55,20:20,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€104,26,augustus,06:35,11:00,16-03-2023 08:42:35
BRU,Brussel,HER,Heraklion,€104,29,augustus,07:15,11:40,16-03-2023 08:42:35
