outboundFlightId,DepartureDateTime,ArrivalDateTime,Airline,FlightNumber,DepartureAirport,ArrivalAirport,TotalPriceAllPassengers,TotalPriceOnePassenger,BaseFare,TaxSurcharge,CurrencyCode,ProductClass,Deeplink,ResultSet
BRUHER20230401HV9209,2023-04-01T06:35:00,2023-04-01T11:00:00,HV,9209,BRU,HER,329.0,329.0,291.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=1&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230404HV9211,2023-04-04T07:10:00,2023-04-04T11:35:00,HV,9211,BRU,HER,225.0,225.0,187.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=4&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230408HV9209,2023-04-08T06:35:00,2023-04-08T11:00:00,HV,9209,BRU,HER,175.0,175.0,137.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=8&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230411HV9211,2023-04-11T07:10:00,2023-04-11T11:35:00,HV,9211,BRU,HER,146.0,146.0,108.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=11&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230415HV9209,2023-04-15T06:35:00,2023-04-15T11:00:00,HV,9209,BRU,HER,161.0,161.0,123.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=15&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230418HV9211,2023-04-18T07:10:00,2023-04-18T11:35:00,HV,9211,BRU,HER,161.0,161.0,123.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=18&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230422HV9209,2023-04-22T06:35:00,2023-04-22T11:00:00,HV,9209,BRU,HER,309.0,309.0,271.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=22&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230425HV9211,2023-04-25T07:10:00,2023-04-25T11:35:00,HV,9211,BRU,HER,191.0,191.0,153.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=25&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230429HV9209,2023-04-29T06:35:00,2023-04-29T11:00:00,HV,9209,BRU,HER,274.0,274.0,236.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=29&om=4&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230502HV9211,2023-05-02T07:10:00,2023-05-02T11:35:00,HV,9211,BRU,HER,225.0,225.0,187.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=2&om=5&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230506HV9209,2023-05-06T06:35:00,2023-05-06T11:00:00,HV,9209,BRU,HER,207.0,207.0,169.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=6&om=5&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230509HV9211,2023-05-09T07:10:00,2023-05-09T11:35:00,HV,9211,BRU,HER,241.0,241.0,203.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=9&om=5&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230513HV9209,2023-05-13T06:35:00,2023-05-13T11:00:00,HV,9209,BRU,HER,241.0,241.0,203.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=13&om=5&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230516HV9211,2023-05-16T07:10:00,2023-05-16T11:35:00,HV,9211,BRU,HER,161.0,161.0,123.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=16&om=5&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230520HV9209,2023-05-20T06:35:00,2023-05-20T11:00:00,HV,9209,BRU,HER,146.0,146.0,108.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=20&om=5&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
BRUHER20230523HV9211,2023-05-23T07:10:00,2023-05-23T11:35:00,HV,9211,BRU,HER,146.0,146.0,108.86,37.14,EUR,Basic,https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=HER&ap=1&cp=0&od=23&om=5&oy=2023&utm_source=API&utm_medium=Public,{'count': 9}
