date_data_recieved,departDate,arrivalDate,flightNumber,productId,depTime,arrivalTime,departAirportCode,arrivalAirportCode,journeyType,totalNumberOfStops,journeyDuration,arrivalAirportName,departAirportName,availableSeats,carrierCode,carrierName,totalPrice,adultPrice
2023-03-16,2023-04-09,2023-04-09,1941,eJyMkt+OokwUxF/FHG9Pz5yGRqHvaP+QLxL5ghJnY4wB7N6w48oEdJOJsZ9906vJjnd7W/VLnaLoK5QgYbla4KzIca2QIyHh/wVmy9km/oZxmuK5az76fV8edY+bmcJgFABCBXK7BZUXOI8z9MjzGQlG0Zr70g8k0ZMWyICc5k5EguOcI2I63SSIsNsh1CC3V6ja9r05fZ8cy74HCXMOCKf+/aV2QmZWuvvV1BokpNOHY8pOq7Jv+kl7uBub5Iu10sfjQn+CBLLp1A7sm28dYr2Ak7VkubVvD/5He+lO+vOOu+4kKBqsles7UHkxj7Nn8m/4WllH2YG1Ki8siVeKXl3E4M8Ydh5nT6Jbw9pHWlcdvn5rdznq5eVnpTtXI+AEtx2CQ0hGJa9NyIkZbUImSPss9EeGEZW8OhhBxif5UXbn5ty0JxZ5YRjy8ZjpOqyZ4CRY5VeGVbUngnrMvYjGgKBBXkHFSRInM/casr2Kk/1/ywncEAxIyGerIl0P/+X68P7TfcZHksbSDyWJl9DzhsvVYqjygrkVb78DAAD//xWMrXA=,13:35,15:50,BRU,FAO,Direct,0,3u 15m,Faro,Brussel,10,TB,TUI fly,219.99,219.99
2023-03-16,2023-04-05,2023-04-05,1171,eJyMkt+OokwUxF/FHG9Pz5wWmj99B+gQI5EvA8b5Yoyhodmw4+oEdJOJsZ9906PJjnd7W/VLnaLoC1QgYVkscLZ6xTJGjoSE/60wX87W0f8YZRme+u5j2A3VXg+4nsUoPAEICuRmA3lRYpQlOKGJw8hlJEryJJEketACKb40e4L7HF84Is6n6xQRtluEGuTmAup4fO8OP5J9NQwg4YUDwmF4f6qtkLeF7n93tQYJ8+ndaatex9XQDcmxuRnr9JtV6P1+oT9BApn51IzMm2MsYiaCkzFkuDFvd/7n8dwf9OcNt93JJTEqY9t3lBdllCWP5N/wMjaWMiNj8qI05D6TeLYRo68xTJQlD6Jdw5h7Wq+a79/an/d6ef6ldG9rCE5w3SJYhEutyW3agFilK2JuEFYsVJ7HWu4EtaO8pgka+VH1p+7UHQ+MHFWHrW6Y8HzFXE+FTPmtzwSFNScVBqr1AEGDvEAcpWmUzuxryHdxlO7mywSuCC1IeJ0Vq6wc/8v18e2nO4x7knzpBJI7T67vjpfFYpwXJbMrXv8EAAD//7Pirwg=,06:00,08:50,OST,ALC,Direct,0,2u 50m,Alicante,Brugge-Oostende,10,TB,TUI fly,129.99,129.99
2023-03-16,2023-04-05,2023-04-05,1111,eJyMklGPmkAUhf+Kub7e2b0jDMK8MaxLjEQblLiNMYaBoaFrdQPaZGOc395MNen61tdzvpx7OMwFSpAwX85wUuS4UsiRkPBbgYv5ZB1/xzjL8NS1H/2uL/emx/VEoQgEIGiQmw2ovMA4S3BEI4+Rz0isKJAkJNGDFkpBTnMnOOf4yhFx+rJOEWG7RahAbi6gj8f39vAj2Zd9DxJeOSAc+venygmLZmm6321lQML05e40ZWdU2bd9cqxvxjr9Yi3Nfj8znyCB7PTFDuybZx1iR4KTtWS5tW93/ufx3B3M5w133cknMVgp13eg8iLOkkfyX/hKWUfZgbUqLyz5zySeXcTg7xg2zpIH0a1h7T2t0/XXb+3OezM//9KmczUEJ7huERziS2PIr5uQWGlKYn4YlSzSQcAa7oWVp4O6Dmv5UXan9tQeD4w8XUWNqZkIxpr5gY6YHjdjJiiqOOko1E0ACAbkBVScpnE6ca9hsVNxupvOE7giNCAhnyyLbDX8n+vD20/3GA8kjaUXSu49iWg0nC9nQ5UXzK14/RMAAP//bkyu0A==,06:05,08:50,BRU,ALC,Direct,0,2u 45m,Alicante,Brussel,10,TB,TUI fly,129.99,129.99
2023-03-16,2023-04-05,2023-04-05,1113,eJyMklGPmkAUhf+Kub7e2b0jDMK8MaxLjEQblLiNMYaBoaFrdQPaZGOc395MNen61tdzvpx7OMwFSpAwX85wUuS4UsiRkPBbgYv5ZB1/xzjL8NS1H/2uL/emx/VEoQgEIGiQmw2ovMA4S3BEI4+Rz0isKJCcJNGDFkohnOZOcO7hK0fE6cs6RYTtFqECubmAPh7f28OPZF/2PUh45YBw6N+fKicsmqXpfreVAQnTl7vTlJ1RZd/2ybG+Gev0i7U0+/3MfIIEstMXO7BvnnWIHQlO1pLl1r7d+Z/Hc3cwnzfcdSefxGClXN+Byos4Sx7Jf+ErZR1lB9aqvLDkP5N4dhGDv2PYOEseRLeGtfe0Ttdfv7U77838/EubztUQnOC6RXCIkMaQXzchsdKUxPwwKlmkg4A13AsrTwd1Hdbyo+xO7ak9Hhh5uooaUzMRjDXzAx0xPW7GTFBUcdJRqJsAEAzIC6g4TeN04l7DYqfidDedJ3BFaEBCPlkW2Wr4P9eHt5/uMR5IGksvlNx7EtFoOF/OhiovmFvx+icAAP//enCu2Q==,06:10,08:55,BRU,ALC,Direct,0,2u 45m,Alicante,Brussel,10,TB,TUI fly,129.99,129.99
2023-03-16,2023-04-05,2023-04-05,1101,eJyMklGL4j4Uxb+KXF9vZm5sU9u8pUWLWOqfqjh/RKRp06U7rg6tLgxiPvuSUdjxbV/P+XHu6WmuUIKEfDnHybrAVYwcCQn/W+Min2zU/6iyDM9d+9Hv+/JgetxMYhSBAAQNcrsFlReosgRHNPIY+YzEigLpkSR60iLJvzR3ghPHKUfE2XSTIsJuh1CB3F5Bn07v7fFHcij7HiRMOSAc+/eXygmLZmm6321lQMJs+nCasjNx2bd9cqrvxib9Zi3N4TA3nyCB7GxqB/bNsw6xI8HJWrLc2rcH//N06Y7m84677uSTGKxi13eg8kJlyTP5N3wVW0fZgbUqLyz5ryReXcTgawyrsuRJdGtY+0jrdP39W7vLweSXX9p0robgBLcdgkOENIb8ugmJlaYk5odRySIdBKzhXlh5OqjrsJYfZXduz+3pyMjTVdSYmolgrJkf6IjpcTNmgqKKk45C3QSAYEBeIVZpqtKJew2LfazS/SxP4IbQgIRislxnq+G/XB/ef7rHeCBpLL1Qcu/Fj8bDfDkfqrxgbsXbnwAAAP//RsOusg==,06:30,09:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,139.99,139.99
2023-03-16,2023-04-06,2023-04-06,1111,eJyMklGPmkAUhf+Kub7e2b0jMMK8MYQlZok2KHEbYwwDQ0PX6ga0ycY4v72ZatL1ra/nfDn3cJgLVCBhvnzFtCxwpZAjIeG3EhfzdB1/xzjP8dR3H8NuqPZmwHWqMBABIGiQmw2oosQ4T3BCE4+Rz0isSEgKJNGDFsqAnOZOcM7xhSPiLF1niLDdItQgNxfQx+N7d/iR7KthAAkvHBAOw/tT7YRFuzT97642IGGW3p226o2qhm5Ijs3NWGdfrKXZ71/NJ0ggO0vtyL551iF2EnCyliy39u3O/zye+4P5vOGuO/kkRivl+o5UUcZ58kj+C18p6yg7slYVpSX/mcSzixj9HcPGefIgujWsvaf1uvn6rf15b+bnX9r0rkbACa5bBIdMpTHkN21IrDIVMT+MKhZpIVjLvbD2tGiasJEfVX/qTt3xwMjTddSahgViqpkvdMT0tJ2ygKKak45C3QpAMCAvoOIsi7PUvYbFTsXZbjZP4IrQgoQiXZb5avw/18e3n+4xLiRNpRdK7j0F0WQ8X76OVVEyt+L1TwAAAP//gMOu3Q==,06:05,08:50,BRU,ALC,Direct,0,2u 45m,Alicante,Brussel,10,TB,TUI fly,134.99,134.99
2023-03-16,2023-04-06,2023-04-06,1171,eJyMklFvok4Uxb+Kub7eae8IDDBvgJYYifxTMPYfYwwDw4atqw3oJo1xPvtmqsnWt30955dzD4e5QAUSlsUCZ6tXLGPkSEj43wrz5Wwd/Y9RluGp7z6G3VDt9YDrWYye8ABBgdxsIC9KjLIEJzRxGLmMREm+JJJED1oovS/NnuA+xxeOiPPpOkWE7RahBrm5gDoe37vDj2RfDQNIeOGAcBjen2or5G2h+99drUHCfHp32qrXcTV0Q3JsbsY6/WYVer9f6E+QQGY+NSPz5hiLmInHyRgy3Ji3O//zeO4P+vOG2+7kkhiVse07yosyypJH8m94GRtLmZExeVEacp9JPNuI0dcYJsqSB9GuYcw9rVfN92/tz3u9PP9Surc1PE5w3SJYZCK1JrdpA2KVroi5QVixUAnBWu4EtaNE0wSN/Kj6U3fqjgdGjqrDVjfME75irlAhU37rM4/CmpMKA9UKQNAgLxBHaRqlM/sa8l0cpbv5MoErQgsSXmfFKivH/3J9fPvpDuNCki+dQHLnyfXd8bJYjPOiZHbF658AAAD//8KjrxI=,07:00,09:50,OST,ALC,Direct,0,2u 50m,Alicante,Brugge-Oostende,10,TB,TUI fly,129.99,129.99
2023-03-16,2023-04-06,2023-04-06,1103,eJyMklGPmkAUhf+Kub7e2b0jMMK8DcQlVYINatzGGMPA0NC1ugFtsjHOb29mNen61tdzvpx7OMwFSpCQL2Y4WRW4jJEjIeH3Fc7zyVr9QJVleOra937Xl3vT43oSYyACQNAgNxtQeYEqS3BEI4+Rz0gseSA9kkQPWij5p+ZOcPLwhSPiVK1TRNhuESqQmwvo4/GtPfxM9mXfg4QXDgiH/u2pcsK8WZjuT1sZkDBVd6cpOxOXfdsnx/pmrNMv1sLs9zPzARLITpUd2FfPOsSOAk7WkuXWvt75X8dzdzAfN9x1J5/EYBm7vgOVFypLHsl/4cvYOsoOrFV5Ycl/JvHsIgafY1iVJQ+iW8Pae1qn66/f2p33Jj//1qZzNQJOcN0iOERIY8ivm5BYaUpifhiVLNJCsIZ7YeVpUddhLd/L7tSe2uOBkaerqDE1C8RYM1/oiOlxM2YBRRUnHYW6EYBgQF4gVmmq0ol7DfNdrNLdtzyBK0IDEorJYpUth/9zfXj76R7jQtJYeqHk3pMfjYf5YjZUecHcite/AQAA//82oK6q,15:30,18:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,144.99,144.99
2023-03-16,2023-04-06,2023-04-06,1113,eJyMklGPmkAUhf+Kub7e2b0jMMK8MYQlZok2KHEbYwwDQ0PX6ga0ycY4v72ZatL1ra/nfDn3cJgLVCBhvnzFtCxwpZAjIeG3EhfzdB1/xzjP8dR3H8NuqPZmwHWqMBABIGiQmw2oosQ4T3BCE4+Rz0isuJCTQBI9aJHk5DR3gnMPXzgiztJ1hgjbLUINcnMBfTy+d4cfyb4aBpDwwgHhMLw/1U5YtEvT/+5qAxJm6d1pq96oauiG5NjcjHX2xVqa/f7VfIIEsrPUjuybZx1iJwEna8lya9/u/M/juT+YzxvuupNPYrRSru9IFWWcJ4/kv/CVso6yI2tVUVryn0k8u4jR3zFsnCcPolvD2ntar5uv39qf92Z+/qVN72oEnOC6RXCIkMaQ37QhscpUxPwwqlikhWAt98La06JpwkZ+VP2pO3XHAyNP11FrGhaIqWa+0BHT03bKAopqTjoKdSsAwYC8gIqzLM5S9xoWOxVnu9k8gStCCxKKdFnmq/H/XB/ffrrHuJA0lV4oufcURJPxfPk6VkXJ3IrXPwEAAP//jIKu5A==,16:25,19:10,BRU,ALC,Direct,0,2u 45m,Alicante,Brussel,10,TB,TUI fly,134.99,134.99
2023-03-16,2023-04-07,2023-04-07,1161,eJyMklGPmkAUhf+Kub7e2b0jMMC8AdGxkWizatzGGMPA0NC1sgFtsjHOb2+mmnR929dzvpx7OMwFCpAwX85wvH7BVYocCQm/r3ExH2+SH5jkOZ665r3f98XB9LgZpxiIABA0yO0WcqUwyTMc0chj5DMKVyQkkSR60CLpB05zJ7jgOOGIOJ1sFCLsdgglyO0FdNu+Ncef2aHoe5Aw4YBw7N+eSics6qXp/jSlAQnTyd2pi86kRd/0WVvdjI36ZC3N4TAzHyCB7HRiB/bVsw6xo4CTtWS5ta93/ld77o7m44a77uRTOFilru8gVyrJs0fyf/gqtY6yA2tzpSz5zxQ+u4jBvzFskmcPolvD2ntap6vP39qdD2Z+/q1N52oEnOC6Q3AIl8aQX9URscIUxPwoLlishWA196LS06Kqokq+F92pOTXtkZGny7g2FQtEqJkvdMx0WIcsoLjkpONI1wIQDMgLpIlSiRq717DYp4naf5tncEWoQcLLeLnOV8OvXB/efrrHuJAUSi+S3HvyYzGcL2fDXCnmVrz+DQAA//9Qp66w,06:00,08:45,LGG,ALC,Direct,0,2u 45m,Alicante,Luik,10,TB,TUI fly,109.99,109.99
