date_data_recieved,departDate,arrivalDate,flightNumber,productId,depTime,arrivalTime,departAirportCode,arrivalAirportCode,journeyType,totalNumberOfStops,journeyDuration,arrivalAirportName,departAirportName,availableSeats,carrierCode,carrierName,totalPrice,adultPrice
2023-03-09,2023-05-31,2023-05-31,1101,eJyMklGL4jAUhf+KXF9vZm6aZrR5S4tTVktdquIsIpLWdOmOq0OrC4OY375EhR3f9vXcj3tOzs0ZDCjIZxMcLQqcx8iRkPD7Aqf5aKl/oM4yPLbNR7fpzM52uBzFKF8kIJSgVivQeYE6SzCgQDCSTPA5vShBiuhBixS/at6CE8dXjojjeJkiwnqNUIFanaE8HN6b/c9kZ7oOFLxyQNh370+VF6b1zLZ/msqCgnF8n9SmtbHpmi45bG+DZfplNLO73cR+ggJy49j13JtwHnGB5OQcOe7c253/dTi1e/t5w312koL35rHP29N5obPkkfy3fB47T7meczovHMlnwZ/9it61DKez5EH0bTh339aW269vbU87m59+l7b1MSQnuKwRPEKKW5JVxIfMBlKwcCg4M9tBzepqIEwZyjB4EerDtMfm2Bz2TJAMokoGTGwNsVBYy0raWmbMoB7Uwyg0gXe1oM4Q6zTV6cj/hukm1unmW57ABaEGBcVotsjm/f9x79+OLph/I78ePXyKorCfzyZ9nRfMt3j5GwAA//8mW6yF,06:30,09:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,149.99,149.99
2023-03-09,2023-06-01,2023-06-01,1103,eJyMklGL4jAUhf+KXF9vZm6aVm3e0qJltdSlKs4iImlNl+64dmh1YRDz25eosOPbvp77cc/JubmABgnZYobjVY7LCDkSEn5f4Twbr9UPVGmKp7b+6HadPpgO1+MIg0EACAXIzQZUlqNKY/TIE4wGjPiSB1KQJHrSRpLfNGfBSeCEI+J0sk4QYbtFKEFuLlA0zXt9/BkfdNeBhAkHhGP3/lI6YV4tTPunLg1ImE4ek0q3JtJd3cXN/j5YJ19GC3M4zMwnSCA7ndiefRPWIdYLOFlLllv79uB/Nef2aD7vuMtOA+K9ZeTy9lSWqzR+Jv8tX0bWUbZnrcpyS4NX4q9uRe9WhlVp/CS6Nqx9bGuL/de3tueDyc6/C9O6GAEnuG4RHMIlNxSUIR8x4wWC+SPBmd4PK1aVQ6ELP/C9gZAfuj3Vp7o5MkGBF5aBx8ReE/OFMaygvWFaD6thNQp97TlXA/ICkUoSlYzdb5jvIpXsvmUxXBEqkJCPF6t02f8f9/796IJRKDm/Hd1/CUO/ny1mfZXlzLV4/RsAAP//QlSslg==,15:30,18:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,169.99,169.99
2023-03-09,2023-06-04,2023-06-04,1103,eJyMkVGL4jAUhf+KXF9vZm6aRm3e0uqUxVKXqjiLiKQ1Xbrj6tDqwiDmty8ZhR3f9vXcj3NOTi5gQEE+n+JkWeAiRo6EhN+XOMsnK/0DdZbhqW3eu21n9rbD1SRGOZCAUIJar0HnBeoswYACwWjAKFxwqaRURA/aSIlPzUdwEvjCETEfr1JE2GwQKlDrC5TH41tz+JnsTdeBghcOCIfu7anywqye2/ZPU1nfeHy/1Ka1semaLjnubodV+uU0t/v91H6AAnL52PXcq3AecYHk5Bw57tzrnf91PLcH+3HDfXcaUNhbxL5vT+eFzpJH8p/5Inaecj3ndF44GjxT+Owtep9jOJ0lD6Jfw7m7W1vuvr61Pe9tfv5d2tbXkJzgukHwSKC4JVlFfMRsIAULR4IzsxvWrK6GwpShDIOBUO+mPTWn5nhggmQQVTJgYmeIhcJaVtLOMmOG9bAeRaEJfKoFdYFYp6lOJ37C2TbW6fZbnsAVoQYFxWS+zBb9/0nv3z5dMIoU54qTovApisJ+Pp/2dV4wv+L1bwAAAP//lq2szA==,15:55,18:35,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,3,TB,TUI fly,279.99,279.99
2023-03-09,2023-06-04,2023-06-04,1103,eJyMkVFv2jAUhf8Kurxet9dJHBq/OSmNJiIzBRCdEEIOcaasDKoEJlUI//bJBWnlba/nfDr3+PgMBiTo2QTHixLnKXIkJPy+wKkeL9UPVEWBx6597ze92dkel+MURSwAoQK5WoHSJaoiw4CCkFHMKJpzIYWQRHfakww/NX+CU4gvHBH18zJHhPUaYQtydYbqcHhr9z+znel7kPDCAWHfvz1svTBtZrb7026tb/x8cxrT2dT0bZ8d6quxzL9YM7vbTewHSCCnn93AvYbOIy4QnJwjx517vfG/Dqdubz+uuO9OMUWDeer7DpQuVZHdk//C56nzlBs4p3TpKH6k6NFHDD7HcKrI7kS/hnO3tK6qv761O+2sPv2ubOdrCE5wWSN4JJCjOGmaJKoYRXXAopE1zAR1xawYhXFTJ9w+JfLddMf22B72zFCzrYUJWGUrwSITCWbqsGK2NkFAo9rGIQGCBXmGVOW5ysd+wukmVfnmm87ggtCAhHI8WxTz4f9cH14/PWSUSM4lJ8njh0TEQz2bDJUumV/x8jcAAP//nYCuzg==,15:55,18:35,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,3,TB,TUI fly,279.99,279.99
2023-03-09,2023-06-07,2023-06-07,1101,eJyMktGO2jwQhV8FDbfj3XFCnD++cwIb/RCFKoDYCiHkEKdKl5JVApVWCD975QWpy11vz3w6PnPGF9AgIV/McLIqcBkjR0LCbyuc55O1+o4qy/DUNe/9rtcH0+N6EmMgAkAoQW42oPICVZagR57PSDAKlySkT5LoQYsk/9TcE5w4vnBEnI7XKSJstwh7kJsLlG371hx/JAfd9yDhhQPCsX972jthXi9M97vZG5AwHd8nte5MrPumT9rqNlinX0YLczjMzAdIIDsd24F99a1DrBdwspYst/b1zv9sz93RfNxwl50EhYNl7PIOVF6oLHkk/5ovY+soO7BW5YUl8Uzhs7MYfJZhVZY8iK4Na+9uXVl93bU7H0x+/lWazsUIOMF1i+AQLkMR1XU0KhmNKo+NQqOZ9qqSmSD0RV1F3PwXyXfdnZpT0x6ZpnpfBdpjpSkDNtKjgOnKL5mptOdRWBnhEyAYkBeIVZqqdOJ+w3wXq3T3f57AFaEGCcVkscqWw395fXg7us/cjtwdnYunKBDDfDEbqrxgrsXrnwAAAP//XY2upg==,06:30,09:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,159.99,159.99
2023-03-09,2023-06-08,2023-06-08,1103,eJyMklGL4jAUhf+KXF9vZm5aU23e0uoUsdSlKs4iIqlNl+64dmh1YRDz25eMwo5v83rux7kn5+YCGiRkixlOVjkuI+RISPhjhfNsslY/UaUpntr6vdt1+mA6XE8iFIEAhALkZgMqy1GlMXrk+YwCRqMlF9InSfSgjST/1NwKTj6+cEScjtcJImy3CHuQmwsUTfNWH3/FB911IOGFA8Kxe3vaO2FeLUz7t94bkDAd3yeVbk2ku7qLm/I2WCdfRgtzOMzMB0ggOx3bnn31rUOsJzhZS5Zb+3rnfzfn9mg+brjLTgGNesvI5e2pLFdp/Ej+N19G1lG2Z63KckvBM42enUXvswyr0vhBdG1Ye3dri/LrW9vzwWTnP4VpXQzBCa5bBIeQHAZhVYWDgtGg9NhgaDTTXlkwI4Z+UJUhN6NQvuv2VJ/q5sg0VftSaI8VphBsoAeC6dIvmCm159GwNIFPgGBAXiBSSaKSifsN812kkt00i+GKUIGEfLJYpcv+d7b3b0f3GYWSc3d0HjyFIuhni1lfZTlzLV7/BQAA//9lAa6r,15:30,18:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,129.99,129.99
2023-03-09,2023-06-08,2023-06-08,1103,eJyMklGL4j4Uxb+KXF9vZpKm6bR5S6tTxFL/VMX5IyJpmy7dce3Q6sIg5rMvGYUd3/b13B/nnpybC2iQkC/nOF0XuIqRIUWK/61xkU836n9UWYanvv0Y9oM+mAE30xhFIAChBLndgsoLVFmCHvU4oQGh4YoJyamk9EELJfvS3ApGOb4yRJxNNiki7HYIFcjtBcque2+PP5KDHgaQ8MoA4Ti8P1VOWDRL0/9uKwMSZpP7pNG9ifXQDklX3wab9NtoaQ6HufkECdTOJnZk37h1iPUEo9ZSy6x9u/M/u3N/NJ833GWnAQ1Hq9jlHam8UFnySP41X8XWUXZkrcoLS4NnGj47i9FXGVZlyYPo2rD27taX9fe39ueDyc+/StO7GIJRuO4QHMKkiWrRiEgQpitNfB3WpHwJQ+KXZaO55/vME/JD96f21HZHUgnfNGXJSP3il8SvOCdRzRpSRw3nmtEqCiJAMCAvEKs0VenU/YbFPlbpfpYncEVoQEIxXa6z1fhfto9vR+eERpIxd3QveuIiGOfL+VjlBXEtXv8EAAD//ygbrhE=,15:30,18:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,129.99,129.99
2023-03-09,2023-06-11,2023-06-11,1103,eJyMkVFv2jAUhf8Kurxet75xnBK/OSmNpkbpFEB0Qgg5iTNlZVAlMKlC+LdPLkgrb3s959O5x8cnMKCgmD3jdFHiPEFCjhy/L/ClmC71D9R5joe+ex82g9naAZfTBGUkAaECtVqBLkrUeYoBDwTjESOak1RSKs5vtIkSn5o/QVzgEyFi8bjMEGG9RqhBrU5Q7fdv3e5nujXDAAqeCBB2w9td7YWXdmb7P11tfePHq9Oa3iZm6IZ031yMZfbFmtnt9tl+gALuikc3cq/CecQFkrhz3JFzr1f+1/7Y7+zHBffdeUQ0mie+70gXpc7TW/Jf+DxxnnIj53RROh7dE937iNHnGE7n6Y3o13DumtZXzde39setLY6/K9v7GpI4nNcIHhHKxo1sZSwZmdqw0EwaVj1MJiysqtaIIAwpkOrd9Ifu0O13rJahbauKWPMQViyshWBxQy1r4lYIQ7yOoxgQLKgTJDrLdDb1E75sEp1tvhUpnBFaUFBOZ4t8Pv6f6+PLpwvGY0WkiKsgvhMyGhez57EuSuZXPP8NAAD//1E7rio=,15:55,18:35,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,4,TB,TUI fly,279.99,279.99
2023-03-09,2023-06-13,2023-06-13,1101,eJyMklGL4j4Uxb+KXF9vZnKbttq8pcUpf1rqn6o4i4ikbbp0x9Wh1YVBzGdfosK6b/t67o9zT87NBTRIKBYZzlYlLmMk5Mjx/xXOi9lafUOV53jqu89hN+i9GXA9izEIA0CoQG42oIoSVZ6gxz3BeMhILPlECi45f9aIS7ppbgVxwjdCxCxep4iw3SLUIDcXqI7Hj+7wPdnrYQAJbwQIh+HjpXbCvF2Y/ldXG5CQxY9Jq3sT66EbkmNzH6zTp9HC7PeZ+QIJ3GaxHdl3YR1ivYC4tdySte8P/sfx3B/M1x132XlIYrSMXd6RKkqVJ3+Tf8yXsXWUHVmritLy8JXEq7MY3cqwKk+exVsb1j7c+qp5fmt/3pvi/LMyvYsREIfrFsEhnjRRE7RBFDDStWa+njasmkynzK+qVgvP98kL5KfuT92pOx5YHfimrSpizcSvmF8LwaKGWtZErRCaeB2FESAYkBeIVZqqdOZ+w3wXq3T3X5HAFaEFCeVsscqX43/ZPr4fXTAeSSJ3dC96EUE4LhbZWBUlcy1efwcAAP//6+6t6g==,07:30,10:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,179.99,179.99
2023-03-09,2023-06-14,2023-06-14,1101,eJyMklGL4j4Uxb+KXF9vZpK26di8JcUpYql/quL8EZGkTZfuuHZodWEQ89mXjMKOb/t67o+Tc8/NBTQIKJZznK5LXClkSJHif2tcFNON/B9lnuOpbz+G/aAPdsDNVCGPOSAYENstyKJEmacY0CAkNCYsWtFYhFRQ+qAlgn1p/glGGb4yRJypTYYIux1CBWJ7AdN17+3xR3rQwwACXhkgHIf3p8oLi2Zp+99tZUHATN0nje6t0kM7pF19G2yyb6OlPRzm9hMEUDdTbuTeQucRF3BGnaOOOfd253925/5oP2+4z05jFo1WyucdyaKUefpI/jVfKecpN3JOFqWj8TOLnr3F6KsMJ/P0QfRtOHd36039fdf+fLDF+ZexvY/BGYXrDsEjVNik5g1POGG60iTSk5qYl8mERMY0OgyiiAVcfOj+1J7a7kgqHtnGGEbql8iQqApDktSsIXXShKFmtEriBBAsiAsomWUym/rfsNgrme1nRQpXhAYElNPlOl+N/+X18e3oIfE7Mn/0IHkKeTwulvOxLEriW7z+CQAA///2a63x,06:30,09:10,ANR,ALC,Direct,0,2u 40m,Alicante,Antwerpen,10,TB,TUI fly,119.99,119.99
